time,frame,energy,brightness,fundamental_frequencies,frames_since_last_beat,frames_until_next_beat,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0.0,0,0.0040001459419727325,4504.024959811325,4410.0,0.0,250.0,0.22951990365982056,0.6534504890441895,1.0,0.8123313784599304,0.4742763936519623,0.5497846007347107,0.5749874114990234,0.4976469576358795,0.3555116653442383,0.21026137471199036,0.3736560344696045,0.397982656955719,-439.14990234375,0.012102687731385231,0.007851500995457172,0.0018349825404584408,-0.00459445733577013,-0.009989488869905472,-0.013141704723238945,-0.013339059427380562,-0.010539112612605095,-0.005372007377445698,0.0010031568817794323,0.007152564823627472,0.011697443202137947
0.016666666666666666,1,0.005037002731114626,1432.524261945753,4410.0,0.0,249.0,1.0,0.9631699323654175,0.8047618865966797,0.6687780022621155,0.5199524164199829,0.44614335894584656,0.4736151099205017,0.545864999294281,0.6814959049224854,0.861519992351532,0.9685816764831543,0.9831395745277405,-385.7362365722656,59.355804443359375,23.17827606201172,-8.883922576904297,-23.58765411376953,-24.430784225463867,-20.371551513671875,-16.0487060546875,-11.903732299804688,-7.475996494293213,-2.9694161415100098,-0.20368562638759613,-1.6588258743286133
0.03333333333333333,2,0.005455071572214365,940.2025413479225,4410.0,0.0,248.0,0.4813782572746277,0.5129953622817993,0.6633949875831604,0.6596845984458923,0.7835363745689392,1.0,0.6877676248550415,0.34078654646873474,0.3067432641983032,0.46969476342201233,0.7229927778244019,0.6602818369865417,-354.95953369140625,87.51016998291016,25.024234771728516,-16.051923751831055,-24.97438621520996,-23.655853271484375,-23.58596420288086,-20.87352752685547,-15.309412956237793,-10.491867065429688,-6.028567790985107,-2.568587303161621,-4.477718353271484
0.05,3,0.005711363162845373,785.4259143417532,116.98688763140001,0.0,247.0,0.1333422213792801,0.08493536710739136,0.20474420487880707,0.14511153101921082,0.29483291506767273,1.0,0.48330754041671753,0.07850225269794464,0.08217114210128784,0.21134710311889648,0.5833559632301331,0.39213207364082336,-354.1331787109375,89.70030212402344,28.654109954833984,-12.597532272338867,-22.672443389892578,-22.263235092163086,-23.316286087036133,-22.024322509765625,-16.602636337280273,-10.320880889892578,-5.026392936706543,-2.6733040809631348,-5.867919921875
0.06666666666666667,4,0.00588234793394804,616.4781491147395,38.707305349985695,0.0,246.0,0.1647169589996338,0.1650644987821579,0.2704325020313263,0.1334979087114334,0.3201644718647003,1.0,0.3275007903575897,0.041160084307193756,0.1274123191833496,0.37341317534446716,0.7631539106369019,0.4860785901546478,-377.11016845703125,71.3707046508789,34.08625030517578,-0.342131644487381,-17.840892791748047,-21.658550262451172,-21.47533416748047,-20.821067810058594,-17.04757308959961,-9.478717803955078,-2.7716338634490967,-1.830259084701538,-6.085546493530273
0.08333333333333333,5,0.006021265871822834,605.5533871568434,116.51215887726947,0.0,245.0,0.11399983614683151,0.06902139633893967,0.17875349521636963,0.11818910390138626,0.3954290449619293,1.0,0.32375121116638184,0.08799144625663757,0.243178591132164,0.5035045146942139,0.7937910556793213,0.4901363253593445,-393.0951843261719,55.46784973144531,31.924049377441406,6.604606628417969,-10.700533866882324,-17.841419219970703,-18.44256591796875,-16.532461166381836,-13.58860969543457,-9.687332153320312,-5.660499572753906,-3.1486458778381348,-2.989382028579712
0.1,6,0.004009325988590717,597.9819672546569,115.43452998190526,0.0,244.0,0.24274393916130066,0.2972707450389862,0.17589014768600464,0.0911259725689888,0.44667476415634155,1.0,0.44995611906051636,0.10760984569787979,0.2411542683839798,0.45594751834869385,0.6816990971565247,0.5025947093963623,-397.2627258300781,51.27337646484375,31.26734161376953,8.38047981262207,-8.793685913085938,-16.69095230102539,-17.09271240234375,-14.105619430541992,-10.911827087402344,-8.606243133544922,-7.005099296569824,-5.818865776062012,-5.04337215423584
0.11666666666666667,7,0.003280546050518751,659.8968727547833,115.10234844577568,0.0,243.0,0.37880414724349976,0.19881746172904968,0.26356223225593567,0.20691415667533875,0.44745999574661255,1.0,0.3954249918460846,0.13748814165592194,0.24949708580970764,0.3527025580406189,0.5599159002304077,0.44771361351013184,-397.8161926269531,50.67891311645508,30.98727798461914,8.063393592834473,-9.68211555480957,-18.35397720336914,-19.155658721923828,-15.807243347167969,-11.52438735961914,-7.812098503112793,-5.102406024932861,-3.675853967666626,-3.696237802505493
0.13333333333333333,8,0.003007776103913784,685.3129283689992,57.54003016565978,0.0,242.0,0.3624202609062195,0.14771464467048645,0.18655268847942352,0.39928069710731506,0.6217373609542847,1.0,0.4276096224784851,0.11521971970796585,0.17972467839717865,0.2669837176799774,0.5753005743026733,0.5219613313674927,-399.4601745605469,48.553367614746094,29.34018898010254,6.87315559387207,-10.751659393310547,-19.742830276489258,-21.051708221435547,-17.87945556640625,-12.996481895446777,-7.917652130126953,-3.6438510417938232,-1.256150245666504,-1.3865041732788086
0.15,9,0.0027544177137315273,741.9004893264317,57.42922343408382,0.0,241.0,0.24938322603702545,0.2200520932674408,0.24807460606098175,0.33104977011680603,0.3565022945404053,0.8674179911613464,0.4318417012691498,0.12925799190998077,0.3072550296783447,0.7661107182502747,1.0,0.5109386444091797,-401.90631103515625,45.77149963378906,28.260906219482422,7.510928153991699,-9.613540649414062,-19.62246322631836,-22.335649490356445,-19.555587768554688,-13.899181365966797,-7.864120960235596,-3.1944077014923096,-0.8340389728546143,-1.0147026777267456
0.16666666666666666,10,0.0025293328799307346,807.6673110839986,57.483787386251585,0.0,240.0,0.36354315280914307,0.5024004578590393,0.26951315999031067,0.25001490116119385,0.4423177242279053,1.0,0.4303117096424103,0.1286555826663971,0.3090853691101074,0.44533801078796387,0.7970873713493347,0.6061045527458191,-402.87774658203125,44.43717575073242,27.289932250976562,7.495181560516357,-8.431872367858887,-17.72956657409668,-20.518997192382812,-18.232696533203125,-12.98088550567627,-7.105961799621582,-2.492567539215088,-0.2604750990867615,-0.7307224869728088
0.18333333333333332,11,0.002468510065227747,838.1426898482567,38.54621638887038,0.0,239.0,0.3064381182193756,0.20112182199954987,0.13365861773490906,0.1172436997294426,0.33555394411087036,0.7428972721099854,0.45539233088493347,0.2195364534854889,0.3472350835800171,0.8492119312286377,1.0,0.5334256887435913,-402.5241394042969,43.460609436035156,23.75726318359375,3.738831043243408,-9.100797653198242,-14.500075340270996,-15.668014526367188,-14.549986839294434,-11.346172332763672,-6.751228332519531,-2.8224353790283203,-1.485602855682373,-2.7520394325256348
0.2,12,0.0024911544751375914,925.6272951334057,114.49976173594034,0.0,238.0,0.1505344659090042,0.12708847224712372,0.1914726197719574,0.10323780030012131,0.19919739663600922,0.47352081537246704,0.3055069148540497,0.1752150058746338,0.34104228019714355,0.6957875490188599,1.0,0.5481094717979431,-400.8978271484375,43.99285888671875,20.920089721679688,-0.5304504632949829,-11.541955947875977,-13.57179069519043,-12.36825180053711,-11.207649230957031,-10.027549743652344,-8.064698219299316,-5.618325233459473,-4.051734924316406,-4.594590187072754
0.21666666666666667,13,0.002380640245974064,907.3619469455464,115.143827524119,0.0,237.0,0.14398761093616486,0.2530716061592102,0.6055241823196411,0.2408287525177002,0.6367769837379456,1.0,0.31452465057373047,0.21863692998886108,0.45473599433898926,0.5900378227233887,0.9234890341758728,0.5423651337623596,-398.7303161621094,46.271156311035156,21.361501693725586,-1.9629234075546265,-14.200302124023438,-16.50963592529297,-14.554935455322266,-12.029796600341797,-9.797802925109863,-7.618863582611084,-5.286367416381836,-3.4980859756469727,-3.819878101348877
0.23333333333333334,14,0.0022986128460615873,858.9442232648348,115.19695693472617,0.0,236.0,0.25287485122680664,0.27373838424682617,0.4649145007133484,0.16702497005462646,0.29463696479797363,0.6740363836288452,0.1949596405029297,0.11088604480028152,0.31771424412727356,0.542690634727478,1.0,0.6511349678039551,-397.9317932128906,47.410552978515625,22.23145294189453,-2.0141711235046387,-15.549485206604004,-18.80490493774414,-16.94287872314453,-13.586067199707031,-9.853523254394531,-6.197287559509277,-3.3372483253479004,-2.1559977531433105,-3.1420602798461914
0.25,15,0.002248333068564534,871.8211805016831,57.742003267311894,0.0,235.0,0.35377001762390137,0.20747032761573792,0.22815018892288208,0.38738223910331726,0.5713899731636047,0.44935330748558044,0.1518988013267517,0.10325495898723602,0.23131601512432098,0.47915101051330566,1.0,0.6489278078079224,-400.5834655761719,44.60675811767578,21.386180877685547,-1.5269209146499634,-15.028016090393066,-18.886512756347656,-17.387929916381836,-13.98086166381836,-10.067770957946777,-6.2363739013671875,-3.1611695289611816,-1.736952543258667,-2.4484095573425293
0.26666666666666666,16,0.002216607565060258,939.7114242071663,57.80687576651708,0.0,234.0,0.5736351013183594,0.4573134779930115,0.8619269132614136,0.3931792974472046,0.47132113575935364,0.4502752721309662,0.19618888199329376,0.20727455615997314,0.4017682373523712,0.5018504858016968,1.0,0.7159813642501831,-404.20330810546875,40.913734436035156,20.476974487304688,-0.7569231986999512,-14.145468711853027,-18.22294807434082,-16.675752639770508,-13.428712844848633,-9.940095901489258,-6.048924922943115,-2.140378475189209,0.11851334571838379,-0.7195948958396912
0.2833333333333333,17,0.004354360047727823,882.5186047631959,57.914415173729786,0.0,233.0,0.4608459770679474,0.3529881238937378,0.16821260750293732,0.4299081563949585,0.8250759840011597,1.0,0.29047444462776184,0.13991649448871613,0.1851891279220581,0.12341229617595673,0.19494156539440155,0.2379048466682434,-400.3302307128906,45.67139434814453,23.166553497314453,-0.927945077419281,-16.820789337158203,-22.053802490234375,-20.251205444335938,-15.908918380737305,-10.901418685913086,-5.30117654800415,-0.053001344203948975,2.4249093532562256,0.5129213333129883
